Time,Pair,Opening price,Highest price,Lowest price,Closing price,Trading volume,Trading volume in USDT,Trading volume in quote currency
2025-07-06 04:00:00,LUMIAUSDT,0.21,0.211,0.21,0.211,15918.7,3357.75763,3357.75763
2025-07-06 05:00:00,LUMIAUSDT,0.211,0.211,0.209,0.211,33170.28,6966.00124,6966.00124
2025-07-06 06:00:00,LUMIAUSDT,0.211,0.214,0.211,0.214,29160.18,6193.7789,6193.7789
2025-07-06 07:00:00,LUMIAUSDT,0.214,0.215,0.211,0.212,29814.73,6360.34474,6360.34474
2025-07-06 08:00:00,LUMIAUSDT,0.212,0.212,0.211,0.212,31401.74,6650.01568,6650.01568
2025-07-06 09:00:00,LUMIAUSDT,0.212,0.214,0.212,0.213,20090.64,4271.96879,4271.96879
2025-07-06 10:00:00,LUMIAUSDT,0.213,0.213,0.212,0.213,18435,3924.58609,3924.58609
2025-07-06 11:00:00,LUMIAUSDT,0.213,0.214,0.213,0.214,22982.22,4904.66821,4904.66821
2025-07-06 12:00:00,LUMIAUSDT,0.214,0.216,0.214,0.215,15101.14,3241.82609,3241.82609
2025-07-06 13:00:00,LUMIAUSDT,0.215,0.219,0.215,0.219,5616.25,1224.1362,1224.1362
2025-07-06 04:00:00,GOATUSDT,0.0967,0.0979,0.0965,0.0965,237489.2,23111.67627,23111.67627
2025-07-06 05:00:00,GOATUSDT,0.0965,0.0965,0.0959,0.096,148625.84,14299.860032,14299.860032
2025-07-06 06:00:00,GOATUSDT,0.096,0.0976,0.0959,0.0972,176228.52,17033.522635,17033.522635
2025-07-06 07:00:00,GOATUSDT,0.0972,0.0992,0.0972,0.0977,575498.13,56680.392304,56680.392304
2025-07-06 08:00:00,GOATUSDT,0.0977,0.0982,0.097,0.0976,246388.42,24073.73645,24073.73645
2025-07-06 09:00:00,GOATUSDT,0.0976,0.0986,0.0975,0.0975,142912.28,13994.000718,13994.000718
2025-07-06 10:00:00,GOATUSDT,0.0975,0.098,0.0971,0.0973,203508.46,19862.847736,19862.847736
2025-07-06 11:00:00,GOATUSDT,0.0973,0.0983,0.0973,0.0983,54745.65,5347.138554,5347.138554
2025-07-06 12:00:00,GOATUSDT,0.0983,0.0987,0.0979,0.0985,112238.8,11036.325404,11036.325404
2025-07-06 13:00:00,GOATUSDT,0.0985,0.1006,0.0981,0.1005,271884.89,27223.878129,27223.878129
2025-07-06 04:00:00,ENAEUR,0.2163,0.2173,0.2157,0.2165,8425.2,2145.237696828113,1823.079996
2025-07-06 05:00:00,ENAEUR,0.2165,0.2165,0.215,0.2154,8369.12,2125.063530357651,1805.979485
2025-07-06 06:00:00,ENAEUR,0.2154,0.2173,0.215,0.2164,8461.21,2152.810452398222,1829.876872
2025-07-06 07:00:00,ENAEUR,0.2164,0.2176,0.2159,0.2159,8515.09,2170.367729743044,1844.777234
2025-07-06 08:00:00,ENAEUR,0.2159,0.2169,0.215,0.2161,7835.01,1990.667433869021,1692.158497
2025-07-06 09:00:00,ENAEUR,0.2161,0.2175,0.2155,0.2159,8308.78,2116.724751717789,1799.277233
2025-07-06 10:00:00,ENAEUR,0.2159,0.2172,0.2152,0.2157,8104.14,2059.216734427059,1750.332533
2025-07-06 11:00:00,ENAEUR,0.2157,0.2171,0.2151,0.217,7999.54,2032.549441072058,1727.298599
2025-07-06 12:00:00,ENAEUR,0.217,0.2193,0.2161,0.2188,8277.05,2115.767028145058,1798.157671
2025-07-06 13:00:00,ENAEUR,0.2188,0.2222,0.2181,0.2217,6478.46,1674.132846311611,1422.944418
2025-07-06 04:00:00,TONEUR,2.324,2.325,2.316,2.323,893.51,2440.061755038705,2073.6309
2025-07-06 05:00:00,TONEUR,2.323,2.327,2.316,2.322,1039.84,2840.271347067458,2413.78974
2025-07-06 06:00:00,TONEUR,2.322,2.332,2.32,2.331,899.05,2460.819506713856,2091.69395
2025-07-06 07:00:00,TONEUR,2.331,2.468,2.32,2.465,4420.84,12507.228609849911,10631.98898
2025-07-06 08:00:00,TONEUR,2.465,2.608,2.422,2.552,14605.02,43870.575959254831,37291.28038
2025-07-06 09:00:00,TONEUR,2.552,2.575,2.485,2.541,4615.87,13694.172915696673,11641.21129
2025-07-06 10:00:00,TONEUR,2.541,2.547,2.495,2.521,1063.81,3159.518874561797,2685.59934
2025-07-06 11:00:00,TONEUR,2.521,2.531,2.468,2.481,978.86,2878.18777168237,2445.95065
2025-07-06 12:00:00,TONEUR,2.481,2.499,2.454,2.483,1055.24,3077.340650284247,2615.39946
2025-07-06 13:00:00,TONEUR,2.483,2.511,2.472,2.483,855.94,2504.67164370051,2128.8687
2025-07-06 04:00:00,SHIBEUR,0.00000971,0.00000973,0.00000967,0.00000969,1089352081.51,12433.031633776192,10565.9380204534
2025-07-06 05:00:00,SHIBEUR,0.00000969,0.00000971,0.00000967,0.0000097,1511998247.52,17243.101089710796,14653.9966097291
2025-07-06 06:00:00,SHIBEUR,0.0000097,0.00000977,0.00000967,0.00000976,1680996830.56,19235.876557813895,16350.3660277756
2025-07-06 07:00:00,SHIBEUR,0.00000976,0.00000984,0.00000974,0.00000979,1674718907.79,19271.832143813684,16380.8560656642
2025-07-06 08:00:00,SHIBEUR,0.00000979,0.00000983,0.00000975,0.00000979,1745130400.82,20107.482050326942,17092.3200726821
2025-07-06 09:00:00,SHIBEUR,0.00000979,0.00000983,0.00000975,0.00000976,1294222341.68,14914.115696224037,12677.6205957321
2025-07-06 10:00:00,SHIBEUR,0.00000976,0.00000982,0.00000974,0.00000979,1051624843.59,12105.535683254711,10289.6778287446
2025-07-06 11:00:00,SHIBEUR,0.00000979,0.00000986,0.00000976,0.00000985,1521800784.34,17557.025758330165,14920.0176228126
2025-07-06 12:00:00,SHIBEUR,0.00000985,0.00000996,0.00000984,0.00000995,1697059161.7,19725.002668121194,16764.0144338024
2025-07-06 13:00:00,SHIBEUR,0.00000995,0.00001009,0.00000993,0.00001008,1188188153.02,13955.522716841792,11861.7346025342
2025-07-06 04:00:00,WLDEUR,0.7322,0.7362,0.7316,0.7332,2677.58,2311.620616493919,1964.471227
