Time,Opening price,Highest price,Lowest price,Closing price,Trading volume,Trading volume in USDT,Trading volume in quote currency,Pair
1751807700000,148.6,149.45,148.49,149.44,20176.41648732,3008956.68221007872,3008956.68221007872,SOLUSDT
1751808600000,149.44,151.59,149.39,151.32,37518.184610384,5651506.03285529112,5651506.03285529112,SOLUSDT
1751809500000,151.32,152.04,151.18,151.3,25245.48399668,3828352.17227507712,3828352.17227507712,SOLUSDT
1751810400000,151.3,151.84,150.89,150.96,18400.876999792,2786434.43660092048,2786434.43660092048,SOLUSDT
1751811300000,150.96,151.61,150.94,151.55,7164.708731408,1084267.22986049944,1084267.22986049944,SOLUSDT
1751812200000,151.55,151.99,150.64,151.06,11506.049745824,1739106.740208974,1739106.740208974,SOLUSDT
1751813100000,151.06,151.69,150.8,151.56,6552.202385624,991345.23854018704,991345.23854018704,SOLUSDT
1751814000000,151.56,151.69,151.32,151.68,5647.573258872,855475.6605962808,855475.6605962808,SOLUSDT
1751814900000,151.68,151.82,151.25,151.37,2135.33789736,323454.36495083128,323454.36495083128,SOLUSDT
1751815800000,151.37,151.57,150.94,151.13,3948.552544232,597234.62619917192,597234.62619917192,SOLUSDT
1751816700000,151.13,151.5,150.79,151.48,2786.141970176,421072.19202151904,421072.19202151904,SOLUSDT
1751817600000,151.48,151.77,151.19,151.43,3125.681988112,473461.64053533632,473461.64053533632,SOLUSDT
1751818500000,151.43,151.87,151.36,151.69,1869.870308664,283542.85624523776,283542.85624523776,SOLUSDT
1751819400000,151.69,152.39,151.35,152.01,6537.585073192,992859.54717758816,992859.54717758816,SOLUSDT
1751820300000,152.01,153.25,151.87,153.09,8733.39779404,1331499.91074727568,1331499.91074727568,SOLUSDT
1751821200000,153.09,153.13,152.37,152.41,8770.516087896,1338303.83036549232,1338303.83036549232,SOLUSDT
1751822100000,152.41,152.86,152.26,152.71,2984.33635712,455143.137735708,455143.137735708,SOLUSDT
1751823000000,152.71,152.79,152.51,152.61,3045.399345648,464769.3884979204,464769.3884979204,SOLUSDT
1751823900000,152.61,152.71,152.36,152.43,1285.131700016,196007.85062206584,196007.85062206584,SOLUSDT
1751824800000,152.43,152.52,152.18,152.28,991.893547184,151068.19677829352,151068.19677829352,SOLUSDT
1751825700000,152.28,152.31,151.64,151.74,3339.471471904,507288.02363207904,507288.02363207904,SOLUSDT
1751826600000,151.74,151.8,151.17,151.29,3617.549899832,547767.46349493152,547767.46349493152,SOLUSDT
1751827500000,151.29,151.43,150.96,151.34,1762.989164192,266570.48208902848,266570.48208902848,SOLUSDT
1751828400000,151.34,151.72,151.34,151.56,602.162281568,91262.48571984816,91262.48571984816,SOLUSDT
1751829300000,151.56,151.65,151.3,151.33,536.493095056,81254.88044872008,81254.88044872008,SOLUSDT
1751830200000,151.33,151.36,150.68,150.76,948.343178112,143141.90915150664,143141.90915150664,SOLUSDT
1751831100000,150.76,151.3,150.66,151.24,741.163248352,111853.60559771984,111853.60559771984,SOLUSDT
1751832000000,151.24,151.91,151.23,151.83,1939.124023672,293987.80005698056,293987.80005698056,SOLUSDT
1751832900000,151.83,151.83,151.48,151.49,705.781343608,107043.52273459224,107043.52273459224,SOLUSDT
1751833800000,151.49,151.68,151.43,151.56,601.33803652,91126.96902628976,91126.96902628976,SOLUSDT
1751834700000,151.56,151.78,151.43,151.43,425.441021504,64487.38988318704,64487.38988318704,SOLUSDT
1751835600000,151.43,152.09,151.42,152.06,794.90743956,120688.03961033936,120688.03961033936,SOLUSDT
1751836500000,152.06,152.76,151.92,152.65,2932.145162296,446851.04524580784,446851.04524580784,SOLUSDT
1751837400000,152.65,153.8,152.64,153.08,32535.489247048,4988982.33067023552,4988982.33067023552,SOLUSDT
1751838300000,153.08,153.1,152.04,152.25,11992.401925824,1830064.66918766,1830064.66918766,SOLUSDT
1751839200000,152.25,153.44,152.25,153.12,14579.133417304,2231965.92917667,2231965.92917667,SOLUSDT
1751840100000,153.12,153.43,152.78,153.15,3344.137026632,512133.25894926224,512133.25894926224,SOLUSDT
1751841000000,153.15,153.19,152.66,152.71,3960.924313056,605658.79130862376,605658.79130862376,SOLUSDT
1751841900000,152.71,152.82,152.42,152.46,2285.49814376,348822.75731638328,348822.75731638328,SOLUSDT
1751842800000,152.46,152.53,151.64,152.01,13046.517886024,1983046.97185193768,1983046.97185193768,SOLUSDT
1751843700000,152.01,152.16,151.67,151.73,3664.487491696,556614.05966651368,556614.05966651368,SOLUSDT
1751844600000,151.73,151.89,151.44,151.84,2781.309763864,421901.22999898944,421901.22999898944,SOLUSDT
1751845500000,151.84,152,151.75,151.84,1580.91252084,240045.45661522288,240045.45661522288,SOLUSDT
1751846400000,151.84,151.95,151.52,151.85,3467.42592912,526207.68916544952,526207.68916544952,SOLUSDT
1751847300000,151.85,151.93,151.21,151.33,3283.5691714,497216.18748852504,497216.18748852504,SOLUSDT
1751848200000,151.33,151.44,150.84,150.86,4447.088235488,671776.93845891192,671776.93845891192,SOLUSDT
1751849100000,150.86,151.29,150.85,151.15,1538.008768464,232399.65837518616,232399.65837518616,SOLUSDT
1751850000000,151.15,151.15,150.23,150.51,3309.087946792,498246.11494087736,498246.11494087736,SOLUSDT
1751850900000,150.51,151.06,150.27,151.02,6618.43314532,997285.02678030872,997285.02678030872,SOLUSDT
1751851800000,151.02,151.38,150.94,151.08,1896.005674504,286732.51923134048,286732.51923134048,SOLUSDT
1751852700000,151.08,151.28,151.06,151.24,1245.113220776,188235.9902182148,188235.9902182148,SOLUSDT
1751853600000,151.24,152.1,151.23,152.03,5298.661775344,804158.5767209276,804158.5767209276,SOLUSDT
1751854500000,152.03,152.43,152.02,152.35,2742.736781768,417598.67781259704,417598.67781259704,SOLUSDT
1751855400000,152.35,152.71,151.97,152.71,3465.665957728,527731.16577513736,527731.16577513736,SOLUSDT
1751856300000,152.71,152.75,151.89,152.05,3443.877135808,524329.11124198784,524329.11124198784,SOLUSDT
1751857200000,152.05,152.16,151.97,152.04,1762.569494912,268057.50059698376,268057.50059698376,SOLUSDT
1751858100000,152.04,152.9,152.02,152.53,3726.334495416,568631.06694814624,568631.06694814624,SOLUSDT
1751859000000,152.53,152.58,152.28,152.31,2336.425159288,356121.90748114944,356121.90748114944,SOLUSDT
1751859900000,152.31,152.38,151.78,151.87,3422.60201536,520219.1051632892,520219.1051632892,SOLUSDT
1751860800000,151.87,152.15,151.87,152.03,1506.04500036,228919.98206215264,228919.98206215264,SOLUSDT
1751861700000,152.03,152.15,151.77,152.04,2046.284557704,310927.57435355088,310927.57435355088,SOLUSDT
1751862600000,152.04,152.06,151.91,151.96,1018.330414152,154772.30991647464,154772.30991647464,SOLUSDT
1751863500000,151.96,152.05,151.78,151.78,2140.267404992,325187.20849624688,325187.20849624688,SOLUSDT
1751864400000,151.78,152.04,151.77,151.89,1131.467501264,171887.54543046896,171887.54543046896,SOLUSDT
1751865300000,151.89,151.96,151.66,151.76,1448.973758488,219947.86906375104,219947.86906375104,SOLUSDT
1751866200000,151.76,152.08,151.54,152.04,2464.711182456,374131.75315038888,374131.75315038888,SOLUSDT
1751867100000,152.04,152.14,151.86,151.94,1858.989862768,282485.21117766296,282485.21117766296,SOLUSDT
1751868000000,151.94,152.01,151.24,151.55,3476.03786912,526694.98247408296,526694.98247408296,SOLUSDT
1751868900000,151.55,151.76,151.54,151.55,1380.905647472,209445.73951670168,209445.73951670168,SOLUSDT
1751869800000,151.55,151.6,151.1,151.11,2476.38550748,374875.35071757512,374875.35071757512,SOLUSDT
1751870700000,151.11,151.22,151.03,151.19,2742.137948128,414392.37730038296,414392.37730038296,SOLUSDT
1751871600000,151.19,151.55,150.87,151.54,2708.348369648,409460.95523868584,409460.95523868584,SOLUSDT
1751872500000,151.54,151.73,151.43,151.56,1543.630909144,233985.1353229748,233985.1353229748,SOLUSDT
1751873400000,151.56,151.93,151.36,151.87,2351.332453208,356856.98572435496,356856.98572435496,SOLUSDT
1751874300000,151.87,152.43,151.87,152.35,4374.090732616,665876.24484170528,665876.24484170528,SOLUSDT
1751875200000,152.35,152.59,152.3,152.36,3850.322137392,586954.0622229944,586954.0622229944,SOLUSDT
1751876100000,152.36,152.66,152.24,152.61,2155.966919672,328591.49604075664,328591.49604075664,SOLUSDT
1751877000000,152.61,152.94,152.41,152.64,2198.219876408,335714.30971597496,335714.30971597496,SOLUSDT
1751877900000,152.64,152.76,152.51,152.66,1887.167153904,287995.00023090408,287995.00023090408,SOLUSDT
1751878800000,152.66,152.66,152.14,152.45,3256.436120344,496162.78908829056,496162.78908829056,SOLUSDT
1751879700000,152.45,152.49,152.22,152.26,2358.975644512,359385.38929902544,359385.38929902544,SOLUSDT
1751880600000,152.26,152.49,152.13,152.4,1429.072604552,217680.77647981288,217680.77647981288,SOLUSDT
1751881500000,152.4,152.4,152.04,152.16,2429.446660432,369783.14813377792,369783.14813377792,SOLUSDT
1751882400000,152.16,152.17,151.64,151.91,2422.061275808,367799.9523310552,367799.9523310552,SOLUSDT
1751883300000,151.91,152.15,151.85,151.99,2297.181150416,349157.05780083,349157.05780083,SOLUSDT
1751884200000,151.99,152.49,151.92,152.48,1303.416162104,198368.80293742464,198368.80293742464,SOLUSDT
1751885100000,152.48,152.48,152.16,152.23,1136.993808928,173139.52500550736,173139.52500550736,SOLUSDT
1751886000000,152.23,152.53,152.16,152.44,1024.204698856,156053.44838909272,156053.44838909272,SOLUSDT
1751886900000,152.44,153.37,152.13,153.2,4419.16953876,675206.80762880504,675206.80762880504,SOLUSDT
1751887800000,153.2,153.58,152.82,153.19,4003.68237224,613606.6385950148,613606.6385950148,SOLUSDT
1751888700000,153.19,153.3,152.78,152.78,2130.289969296,325874.38929495416,325874.38929495416,SOLUSDT
1751889600000,152.78,152.86,152.01,152.06,3150.939301288,480511.62246543928,480511.62246543928,SOLUSDT
1751890500000,152.06,152.06,151.43,151.7,4453.00175256,675379.78209000584,675379.78209000584,SOLUSDT
1751891400000,151.7,152.12,151.68,151.99,2667.88900844,405310.67149224432,405310.67149224432,SOLUSDT
1751892300000,151.99,152.22,151.57,151.7,3794.452367616,576292.63190835232,576292.63190835232,SOLUSDT
1751893200000,151.7,151.96,151.49,151.74,2038.844167672,309302.33000521648,309302.33000521648,SOLUSDT
1751894100000,151.74,152.36,151.4,152,6059.057695616,920252.74389491632,920252.74389491632,SOLUSDT
1751895000000,152,152.36,151.38,151.76,15257.381409928,2315282.62580154544,2315282.62580154544,SOLUSDT
1751895900000,151.76,153.38,151.18,153.04,10655.191109864,1623211.87385783848,1623211.87385783848,SOLUSDT
1751896800000,153.04,153.28,152.51,152.94,2078.05027152,317787.03784269824,317787.03784269824,SOLUSDT
1751807700000,2519.29,2539.31,2518.45,2533.83,2325.524736264,5874693.68590814608,5874693.68590814608,ETHUSDT
1751808600000,2533.83,2545,2533.18,2541.84,4257.713177976,10816049.22117158312,10816049.22117158312,ETHUSDT
1751809500000,2541.84,2569.91,2541.84,2558.26,7046.907226896,18036551.15404941768,18036551.15404941768,ETHUSDT
1751810400000,2558.26,2563.96,2553.49,2554.31,1777.675565656,4549461.17991494232,4549461.17991494232,ETHUSDT
1751811300000,2554.31,2560.27,2553.45,2557.67,1538.61340824,3934437.86010733192,3934437.86010733192,ETHUSDT
1751812200000,2557.67,2566.93,2547.39,2553,4713.634976904,12043691.61230056992,12043691.61230056992,ETHUSDT
1751813100000,2553,2560,2549.81,2559.11,1908.819904904,4878752.72170615928,4878752.72170615928,ETHUSDT
1751814000000,2559.11,2561.26,2556.11,2559.01,1599.148973808,4091222.776629684,4091222.776629684,ETHUSDT
1751814900000,2559.01,2560.71,2554.54,2558.93,574.695847208,1469962.518641266,1469962.518641266,ETHUSDT
1751815800000,2558.93,2561.36,2548,2552.2,1196.464958856,3055245.39354698832,3055245.39354698832,ETHUSDT
1751816700000,2552.2,2558.34,2549.69,2558.33,708.936755632,1810753.7867721168,1810753.7867721168,ETHUSDT
1751817600000,2558.33,2560.71,2549.3,2551.45,1349.464388928,3447967.58475234264,3447967.58475234264,ETHUSDT
1751818500000,2551.45,2554.39,2550.45,2551.41,514.73167692,1313909.05751842472,1313909.05751842472,ETHUSDT
1751819400000,2551.41,2552.44,2542.45,2546.65,1280.795718936,3261391.9949239072,3261391.9949239072,ETHUSDT
1751820300000,2546.65,2554.55,2544.16,2552.02,527.625392912,1345729.33090723632,1345729.33090723632,ETHUSDT
1751821200000,2552.02,2552.61,2544.64,2546.32,1153.542642008,2938294.19253412368,2938294.19253412368,ETHUSDT
1751822100000,2546.32,2552.63,2543.6,2551.3,671.604546536,1711650.7425464068,1711650.7425464068,ETHUSDT
1751823000000,2551.3,2552.69,2548.35,2550.28,503.803328752,1284684.87165151464,1284684.87165151464,ETHUSDT
1751823900000,2550.28,2551.4,2546.59,2547,331.604372464,845348.65023645688,845348.65023645688,ETHUSDT
1751824800000,2547,2547.31,2543,2545.51,305.654105512,777849.27305140592,777849.27305140592,ETHUSDT
1751825700000,2545.51,2545.51,2535.08,2536.33,897.656529008,2279014.67851923744,2279014.67851923744,ETHUSDT
1751826600000,2536.33,2538.34,2527.53,2528.72,781.0125738,1978172.69473429864,1978172.69473429864,ETHUSDT
1751827500000,2528.72,2532.54,2524.07,2532.04,1483.615299864,3751349.34753754192,3751349.34753754192,ETHUSDT
1751828400000,2532.04,2538.4,2531.18,2536.99,416.2635714,1055564.07264659024,1055564.07264659024,ETHUSDT
1751829300000,2536.99,2537.7,2534.98,2536.69,329.424713,835490.84580223224,835490.84580223224,ETHUSDT
